,Question,SQL Query,Method,Table,Label
0,"What is the combined total compensation for staff members rated as ""Good"" in both the HR and Marketing divisions?","SELECT SUM(Salary) AS Salary FROM (SELECT Salary AS Salary FROM EmployeePerformance WHERE Department = ""HR"" AND PerformanceRating = ""Good"" UNION ALL SELECT Salary AS Salary FROM EmployeePerformance WHERE Department = ""Marketing"" AND PerformanceRating = ""Good"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>PerformanceRating</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>52396.539319</td>
      <td>144611.584313</td>
      <td>140211.637828</td>
      <td>132537.407620</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>104386.287134</td>
      <td>146954.008120</td>
      <td>30566.622772</td>
      <td>144149.426824</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>130774.413506</td>
      <td>101671.710342</td>
      <td>78572.328311</td>
      <td>75608.895048</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>111544.120025</td>
      <td>91437.813756</td>
      <td>54149.123300</td>
      <td>111798.531732</td>
    </tr>
  </tbody>
</table>",109138.951083
1,What is the total amount of budget expended on Project B and Project C when considering only the projects that are either delayed or completed?,"SELECT SUM(BudgetSpent) AS BudgetSpent FROM (SELECT BudgetSpent AS BudgetSpent FROM ProjectMetrics WHERE ProjectName = ""Project B"" AND ProjectStatus = ""Delayed"" UNION ALL SELECT BudgetSpent AS BudgetSpent FROM ProjectMetrics WHERE ProjectName = ""Project C"" AND ProjectStatus = ""Completed"" UNION ALL SELECT BudgetSpent AS BudgetSpent FROM ProjectMetrics WHERE ProjectName = ""Project B"" AND ProjectStatus = ""Completed"" UNION ALL SELECT BudgetSpent AS BudgetSpent FROM ProjectMetrics WHERE ProjectName = ""Project C"" AND ProjectStatus = ""Delayed"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProjectName</th>
      <th>Project A</th>
      <th>Project B</th>
      <th>Project C</th>
      <th>Project D</th>
    </tr>
    <tr>
      <th>ProjectStatus</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Completed</th>
      <td>343159.313344</td>
      <td>248405.735322</td>
      <td>995819.873156</td>
      <td>971309.367994</td>
    </tr>
    <tr>
      <th>Delayed</th>
      <td>738067.394087</td>
      <td>108319.193097</td>
      <td>409080.183550</td>
      <td>522734.184464</td>
    </tr>
    <tr>
      <th>On Track</th>
      <td>47963.876072</td>
      <td>376070.474885</td>
      <td>826.052332</td>
      <td>997210.533909</td>
    </tr>
  </tbody>
</table>",1761624.985125
2,What is the combined total revenue generated by Charlie from clothing items sold in the western area and by Bob from home goods sold in the southern area?,"SELECT SUM(SalesAmount) AS SalesAmount FROM (SELECT SalesAmount AS SalesAmount FROM SalesData WHERE ProductCategory = ""Clothing"" AND SalesRegion = ""West"" AND SalesPerson = ""Charlie"" UNION ALL SELECT SalesAmount AS SalesAmount FROM SalesData WHERE ProductCategory = ""Home Goods"" AND SalesRegion = ""South"" AND SalesPerson = ""Bob"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>SalesPerson</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>David</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th>SalesRegion</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">Clothing</th>
      <th>East</th>
      <td>633.126225</td>
      <td>4842.605481</td>
      <td>6253.766439</td>
      <td>1982.761101</td>
    </tr>
    <tr>
      <th>North</th>
      <td>5743.554194</td>
      <td>1224.479186</td>
      <td>6302.557602</td>
      <td>4975.876841</td>
    </tr>
    <tr>
      <th>South</th>
      <td>9548.343898</td>
      <td>8781.955614</td>
      <td>4177.526082</td>
      <td>7991.918079</td>
    </tr>
    <tr>
      <th>West</th>
      <td>5093.639440</td>
      <td>8671.494448</td>
      <td>9414.406659</td>
      <td>6264.520748</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Electronics</th>
      <th>East</th>
      <td>4636.452941</td>
      <td>2794.784992</td>
      <td>7774.075426</td>
      <td>8424.589162</td>
    </tr>
    <tr>
      <th>North</th>
      <td>1349.551333</td>
      <td>3995.584909</td>
      <td>2056.795373</td>
      <td>554.443051</td>
    </tr>
    <tr>
      <th>South</th>
      <td>5165.590996</td>
      <td>8121.483447</td>
      <td>402.816142</td>
      <td>1833.349024</td>
    </tr>
    <tr>
      <th>West</th>
      <td>5158.236442</td>
      <td>6541.570067</td>
      <td>5897.565016</td>
      <td>4646.850387</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Home Goods</th>
      <th>East</th>
      <td>8107.070146</td>
      <td>4303.786909</td>
      <td>4502.229244</td>
      <td>8386.851039</td>
    </tr>
    <tr>
      <th>North</th>
      <td>3094.228976</td>
      <td>209.997150</td>
      <td>4044.086003</td>
      <td>2332.546958</td>
    </tr>
    <tr>
      <th>South</th>
      <td>950.519793</td>
      <td>6596.503534</td>
      <td>2955.931452</td>
      <td>4244.155352</td>
    </tr>
    <tr>
      <th>West</th>
      <td>5713.185929</td>
      <td>6217.008131</td>
      <td>4017.100629</td>
      <td>9268.137159</td>
    </tr>
  </tbody>
</table>",16010.910193
3,"What is the total sum of ratings when combining negative feedback for clothing and books, negative feedback for toys, and positive feedback for toys?","SELECT SUM(Rating) AS Rating FROM (SELECT Rating AS Rating FROM CustomerFeedback WHERE FeedbackType = ""Negative"" AND ProductCategory = ""Clothing"" UNION ALL SELECT Rating AS Rating FROM CustomerFeedback WHERE FeedbackType = ""Positive"" AND ProductCategory = ""Toys"" UNION ALL SELECT Rating AS Rating FROM CustomerFeedback WHERE FeedbackType = ""Negative"" AND ProductCategory = ""Books"" UNION ALL SELECT Rating AS Rating FROM CustomerFeedback WHERE FeedbackType = ""Negative"" AND ProductCategory = ""Toys"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>FeedbackType</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Books</th>
      <td>3.308776</td>
      <td>1.141127</td>
      <td>3.636110</td>
    </tr>
    <tr>
      <th>Clothing</th>
      <td>4.723817</td>
      <td>4.686087</td>
      <td>4.818433</td>
    </tr>
    <tr>
      <th>Electronics</th>
      <td>1.003980</td>
      <td>4.010948</td>
      <td>1.587616</td>
    </tr>
    <tr>
      <th>Home Appliances</th>
      <td>2.275099</td>
      <td>4.963348</td>
      <td>2.314480</td>
    </tr>
    <tr>
      <th>Toys</th>
      <td>4.616131</td>
      <td>1.358501</td>
      <td>2.685891</td>
    </tr>
  </tbody>
</table>",15.334615
4,"What is the combined total of review ratings given by Diana for Books and Clothing on December 31, 2023, together with the score Alice assigned to Electronics on January 1, 2023?","SELECT SUM(ReviewScore) AS ReviewScore FROM (SELECT ReviewScore AS ReviewScore FROM ProductReviews WHERE ProductCategory = ""Books"" AND ReviewerName = ""Diana"" AND ReviewDate = ""2023-12-31"" UNION ALL SELECT ReviewScore AS ReviewScore FROM ProductReviews WHERE ProductCategory = ""Clothing"" AND ReviewerName = ""Diana"" AND ReviewDate = ""2023-12-31"" UNION ALL SELECT ReviewScore AS ReviewScore FROM ProductReviews WHERE ProductCategory = ""Electronics"" AND ReviewerName = ""Alice"" AND ReviewDate = ""2023-01-01"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ReviewerName</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>Diana</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th>ReviewDate</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""2"" valign=""top"">Books</th>
      <th>2023-01-01</th>
      <td>0.523641</td>
      <td>0.911539</td>
      <td>2.863792</td>
      <td>4.331510</td>
    </tr>
    <tr>
      <th>2023-12-31</th>
      <td>1.260415</td>
      <td>2.239715</td>
      <td>1.343657</td>
      <td>3.873557</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Clothing</th>
      <th>2023-01-01</th>
      <td>0.075234</td>
      <td>2.786074</td>
      <td>0.177622</td>
      <td>2.171607</td>
    </tr>
    <tr>
      <th>2023-12-31</th>
      <td>2.398285</td>
      <td>4.519318</td>
      <td>1.821697</td>
      <td>2.548884</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Electronics</th>
      <th>2023-01-01</th>
      <td>3.868105</td>
      <td>2.886529</td>
      <td>2.084769</td>
      <td>4.498857</td>
    </tr>
    <tr>
      <th>2023-12-31</th>
      <td>4.855881</td>
      <td>4.621711</td>
      <td>0.935871</td>
      <td>3.490924</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Home</th>
      <th>2023-01-01</th>
      <td>2.662086</td>
      <td>2.957108</td>
      <td>4.375974</td>
      <td>4.334815</td>
    </tr>
    <tr>
      <th>2023-12-31</th>
      <td>0.063648</td>
      <td>3.191766</td>
      <td>0.739683</td>
      <td>0.529920</td>
    </tr>
  </tbody>
</table>",10.290545
5,"What is the combined total duration of training sessions where employees successfully completed the Soft Skills and Leadership programs, along with those who are still pending in Technical Skills training and those who did not pass the Leadership program?","SELECT SUM(TrainingDuration) AS TrainingDuration FROM (SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Soft Skills"" AND TrainingOutcome = ""Passed"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingOutcome = ""Passed"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Technical Skills"" AND TrainingOutcome = ""Pending"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingOutcome = ""Failed"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>TrainingOutcome</th>
      <th>Failed</th>
      <th>Passed</th>
      <th>Pending</th>
    </tr>
    <tr>
      <th>TrainingProgram</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Compliance</th>
      <td>14.783005</td>
      <td>32.451569</td>
      <td>11.232139</td>
    </tr>
    <tr>
      <th>Leadership</th>
      <td>15.684641</td>
      <td>37.563070</td>
      <td>22.054481</td>
    </tr>
    <tr>
      <th>Onboarding</th>
      <td>14.306189</td>
      <td>11.928007</td>
      <td>24.045687</td>
    </tr>
    <tr>
      <th>Soft Skills</th>
      <td>34.161205</td>
      <td>36.323450</td>
      <td>6.927855</td>
    </tr>
    <tr>
      <th>Technical Skills</th>
      <td>1.466867</td>
      <td>4.997884</td>
      <td>21.272602</td>
    </tr>
  </tbody>
</table>",110.843763
6,"What is the combined total satisfaction score for employees in the Engineering division who gave neutral feedback, along with those in Marketing who expressed either negative or neutral sentiments?","SELECT SUM(SatisfactionScore) AS SatisfactionScore FROM (SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Engineering"" AND FeedbackCategory = ""Neutral"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Marketing"" AND FeedbackCategory = ""Negative"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Marketing"" AND FeedbackCategory = ""Neutral"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>FeedbackCategory</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>8.787814</td>
      <td>6.119770</td>
      <td>8.433332</td>
    </tr>
    <tr>
      <th>Finance</th>
      <td>6.808388</td>
      <td>8.858263</td>
      <td>6.534664</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>3.780404</td>
      <td>8.831131</td>
      <td>4.305467</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>5.081695</td>
      <td>4.725412</td>
      <td>6.586219</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>7.420458</td>
      <td>8.855526</td>
      <td>5.367742</td>
    </tr>
  </tbody>
</table>",15.926876
7,"What is the total feedback score when adding the high engagement feedback from IT in 2022, the high engagement feedback from HR in 2023, and the low engagement feedback from Marketing in 2021?","SELECT SUM(FeedbackScore) AS FeedbackScore FROM (SELECT FeedbackScore AS FeedbackScore FROM EmployeeEngagement WHERE EngagementLevel = ""High"" AND Department = ""IT"" AND Year = ""2022"" UNION ALL SELECT FeedbackScore AS FeedbackScore FROM EmployeeEngagement WHERE EngagementLevel = ""High"" AND Department = ""HR"" AND Year = ""2023"" UNION ALL SELECT FeedbackScore AS FeedbackScore FROM EmployeeEngagement WHERE EngagementLevel = ""Low"" AND Department = ""Marketing"" AND Year = ""2021"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>EngagementLevel</th>
      <th colspan=""3"" halign=""left"">High</th>
      <th colspan=""3"" halign=""left"">Low</th>
      <th colspan=""3"" halign=""left"">Medium</th>
    </tr>
    <tr>
      <th>Year</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>HR</th>
      <td>0.155242</td>
      <td>9.797574</td>
      <td>4.882582</td>
      <td>7.284175</td>
      <td>4.769137</td>
      <td>4.681570</td>
      <td>5.125032</td>
      <td>5.767937</td>
      <td>3.575814</td>
    </tr>
    <tr>
      <th>IT</th>
      <td>2.211372</td>
      <td>5.908192</td>
      <td>5.589562</td>
      <td>6.994416</td>
      <td>8.722364</td>
      <td>0.345024</td>
      <td>0.424624</td>
      <td>1.914976</td>
      <td>0.260787</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>8.522155</td>
      <td>2.860580</td>
      <td>4.602958</td>
      <td>9.902521</td>
      <td>4.662328</td>
      <td>3.811623</td>
      <td>7.968250</td>
      <td>9.970059</td>
      <td>8.152372</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>6.537537</td>
      <td>1.450250</td>
      <td>4.622296</td>
      <td>3.784196</td>
      <td>4.089587</td>
      <td>5.514888</td>
      <td>6.991418</td>
      <td>2.433530</td>
      <td>3.959432</td>
    </tr>
  </tbody>
</table>",20.693295
8,"What is the combined WellnessScore for employees in the Finance division who participated in mental health feedback, those in HR who did not participate in social feedback, IT staff who engaged in social feedback, and Marketing team members who took part in physical health feedback?","SELECT SUM(WellnessScore) AS WellnessScore FROM (SELECT WellnessScore AS WellnessScore FROM EmployeeWellness WHERE Department = ""Finance"" AND FeedbackCategory = ""Mental"" AND ParticipationStatus = ""Yes"" UNION ALL SELECT WellnessScore AS WellnessScore FROM EmployeeWellness WHERE Department = ""HR"" AND FeedbackCategory = ""Social"" AND ParticipationStatus = ""No"" UNION ALL SELECT WellnessScore AS WellnessScore FROM EmployeeWellness WHERE Department = ""IT"" AND FeedbackCategory = ""Social"" AND ParticipationStatus = ""Yes"" UNION ALL SELECT WellnessScore AS WellnessScore FROM EmployeeWellness WHERE Department = ""Marketing"" AND FeedbackCategory = ""Physical"" AND ParticipationStatus = ""Yes"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Department</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
    </tr>
    <tr>
      <th>FeedbackCategory</th>
      <th>ParticipationStatus</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""2"" valign=""top"">Mental</th>
      <th>No</th>
      <td>88.358726</td>
      <td>7.316731</td>
      <td>67.503675</td>
      <td>21.710991</td>
    </tr>
    <tr>
      <th>Yes</th>
      <td>57.162953</td>
      <td>98.580772</td>
      <td>40.619104</td>
      <td>1.425645</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Physical</th>
      <th>No</th>
      <td>11.072612</td>
      <td>82.595485</td>
      <td>69.939799</td>
      <td>52.059289</td>
    </tr>
    <tr>
      <th>Yes</th>
      <td>17.759062</td>
      <td>93.109229</td>
      <td>33.923264</td>
      <td>20.246040</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Social</th>
      <th>No</th>
      <td>31.654854</td>
      <td>87.194430</td>
      <td>7.744799</td>
      <td>15.202584</td>
    </tr>
    <tr>
      <th>Yes</th>
      <td>97.113234</td>
      <td>74.969279</td>
      <td>32.701658</td>
      <td>26.537596</td>
    </tr>
  </tbody>
</table>",197.305081
9,"What is the combined employee turnover percentage for the Sales team due to resignations in 2021, the Sales team due to retirements in 2020, and the HR team for other reasons in 2021?","SELECT SUM(TurnoverRate) AS TurnoverRate FROM (SELECT TurnoverRate AS TurnoverRate FROM EmployeeTurnover WHERE Department = ""Sales"" AND ReasonForLeaving = ""Resignation"" AND Year = ""2021"" UNION ALL SELECT TurnoverRate AS TurnoverRate FROM EmployeeTurnover WHERE Department = ""Sales"" AND ReasonForLeaving = ""Retirement"" AND Year = ""2020"" UNION ALL SELECT TurnoverRate AS TurnoverRate FROM EmployeeTurnover WHERE Department = ""HR"" AND ReasonForLeaving = ""Other"" AND Year = ""2021"");",sum,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Year</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>ReasonForLeaving</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">HR</th>
      <th>Other</th>
      <td>92.099561</td>
      <td>56.167594</td>
      <td>96.476065</td>
      <td>54.464887</td>
    </tr>
    <tr>
      <th>Resignation</th>
      <td>84.590158</td>
      <td>25.516445</td>
      <td>44.783990</td>
      <td>67.406768</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>58.695668</td>
      <td>9.250472</td>
      <td>20.995427</td>
      <td>27.270449</td>
    </tr>
    <tr>
      <th>Termination</th>
      <td>98.171487</td>
      <td>98.132542</td>
      <td>39.664346</td>
      <td>70.858573</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">IT</th>
      <th>Other</th>
      <td>53.336308</td>
      <td>46.552708</td>
      <td>28.877859</td>
      <td>86.112053</td>
    </tr>
    <tr>
      <th>Resignation</th>
      <td>80.754611</td>
      <td>28.113413</td>
      <td>60.293034</td>
      <td>89.080739</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>54.800657</td>
      <td>84.640768</td>
      <td>70.138530</td>
      <td>25.390231</td>
    </tr>
    <tr>
      <th>Termination</th>
      <td>47.984916</td>
      <td>7.560434</td>
      <td>61.668318</td>
      <td>37.236855</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Marketing</th>
      <th>Other</th>
      <td>17.825987</td>
      <td>49.370624</td>
      <td>14.615725</td>
      <td>97.473763</td>
    </tr>
    <tr>
      <th>Resignation</th>
      <td>65.079463</td>
      <td>68.369869</td>
      <td>64.316164</td>
      <td>78.250490</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>81.160180</td>
      <td>55.481433</td>
      <td>62.121419</td>
      <td>15.195600</td>
    </tr>
    <tr>
      <th>Termination</th>
      <td>34.383195</td>
      <td>40.973165</td>
      <td>14.852413</td>
      <td>26.347114</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Sales</th>
      <th>Other</th>
      <td>92.303057</td>
      <td>49.746192</td>
      <td>41.609362</td>
      <td>62.996463</td>
    </tr>
    <tr>
      <th>Resignation</th>
      <td>90.836635</td>
      <td>30.214986</td>
      <td>83.573609</td>
      <td>77.517042</td>
    </tr>
    <tr>
      <th>Retirement</th>
      <td>28.043339</td>
      <td>2.246845</td>
      <td>90.621609</td>
      <td>15.472923</td>
    </tr>
    <tr>
      <th>Termination</th>
      <td>17.762724</td>
      <td>0.615210</td>
      <td>50.813890</td>
      <td>85.302575</td>
    </tr>
  </tbody>
</table>",114.425918
