,Question,SQL Query,Method,Table,Label
0,"Considering the compensation levels, do employees in the HR department with the lowest performance rating earn as much or more than those in the Engineering department who have a satisfactory performance rating?","SELECT (SELECT Salary FROM EmployeePerformance WHERE Department = ""HR"" AND PerformanceRating = ""Poor"") >= (SELECT Salary FROM EmployeePerformance WHERE Department = ""Engineering"" AND PerformanceRating = ""Good"") as Salary;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>PerformanceRating</th>
      <th>Average</th>
      <th>Excellent</th>
      <th>Good</th>
      <th>Poor</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>71072.058163</td>
      <td>112405.500159</td>
      <td>68240.316839</td>
      <td>129473.543150</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>35318.814532</td>
      <td>147546.331953</td>
      <td>64640.184658</td>
      <td>75247.128228</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>96519.246625</td>
      <td>140965.408201</td>
      <td>127888.807818</td>
      <td>31762.858602</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>102437.205886</td>
      <td>127593.578524</td>
      <td>137292.247149</td>
      <td>69221.704378</td>
    </tr>
  </tbody>
</table>",yes
1,"Considering the budgets assigned to Project Beta in the IT division currently underway and Project Gamma in the Marketing division that has been finalized, is the funding for Project Beta less than that for Project Gamma?","SELECT (SELECT Budget FROM ProjectMetrics WHERE ProjectName = ""Project Beta"" AND Department = ""IT"" AND Status = ""In Progress"") < (SELECT Budget FROM ProjectMetrics WHERE ProjectName = ""Project Gamma"" AND Department = ""Marketing"" AND Status = ""Completed"") as Budget;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ProjectName</th>
      <th>Project Alpha</th>
      <th>Project Beta</th>
      <th>Project Gamma</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>Status</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">Finance</th>
      <th>Completed</th>
      <td>492109.078292</td>
      <td>408747.529044</td>
      <td>124634.745031</td>
    </tr>
    <tr>
      <th>In Progress</th>
      <td>479112.656954</td>
      <td>97950.035302</td>
      <td>910637.568941</td>
    </tr>
    <tr>
      <th>Not Started</th>
      <td>367711.395835</td>
      <td>877318.257509</td>
      <td>94708.303855</td>
    </tr>
    <tr>
      <th>On Hold</th>
      <td>824453.801943</td>
      <td>517911.692778</td>
      <td>19289.422321</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">HR</th>
      <th>Completed</th>
      <td>684839.617544</td>
      <td>26256.423645</td>
      <td>41826.175024</td>
    </tr>
    <tr>
      <th>In Progress</th>
      <td>263462.827138</td>
      <td>683731.878488</td>
      <td>922356.898792</td>
    </tr>
    <tr>
      <th>Not Started</th>
      <td>850615.333923</td>
      <td>812734.074987</td>
      <td>389473.826712</td>
    </tr>
    <tr>
      <th>On Hold</th>
      <td>497036.543443</td>
      <td>676661.833855</td>
      <td>534669.035789</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">IT</th>
      <th>Completed</th>
      <td>456484.475055</td>
      <td>475468.434502</td>
      <td>351200.199887</td>
    </tr>
    <tr>
      <th>In Progress</th>
      <td>66120.675543</td>
      <td>155306.833886</td>
      <td>918184.624268</td>
    </tr>
    <tr>
      <th>Not Started</th>
      <td>636275.381273</td>
      <td>342325.116288</td>
      <td>149304.620688</td>
    </tr>
    <tr>
      <th>On Hold</th>
      <td>979647.077310</td>
      <td>713080.929708</td>
      <td>961520.413333</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Marketing</th>
      <th>Completed</th>
      <td>830848.932306</td>
      <td>54580.776660</td>
      <td>390698.778694</td>
    </tr>
    <tr>
      <th>In Progress</th>
      <td>629477.361119</td>
      <td>364820.666729</td>
      <td>483472.422273</td>
    </tr>
    <tr>
      <th>Not Started</th>
      <td>106603.308722</td>
      <td>882631.264858</td>
      <td>775005.888503</td>
    </tr>
    <tr>
      <th>On Hold</th>
      <td>212211.148102</td>
      <td>64257.534811</td>
      <td>91236.782547</td>
    </tr>
  </tbody>
</table>",yes
2,"For Bob's ""Deployment"" task, are the estimated hours for tasks that have not yet begun at least as many as those for tasks already finished?","SELECT (SELECT EstimatedHours FROM TaskAllocation WHERE TaskName = ""Deployment"" AND AssignedTo = ""Bob"" AND Status = ""Not Started"") >= (SELECT EstimatedHours FROM TaskAllocation WHERE TaskName = ""Deployment"" AND AssignedTo = ""Bob"" AND Status = ""Completed"") as EstimatedHours;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>AssignedTo</th>
      <th colspan=""3"" halign=""left"">Alice</th>
      <th colspan=""3"" halign=""left"">Bob</th>
      <th colspan=""3"" halign=""left"">Charlie</th>
      <th colspan=""3"" halign=""left"">Diana</th>
    </tr>
    <tr>
      <th>Status</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>Not Started</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>Not Started</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>Not Started</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>Not Started</th>
    </tr>
    <tr>
      <th>TaskName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Deployment</th>
      <td>38.086221</td>
      <td>19.363382</td>
      <td>31.490784</td>
      <td>43.296645</td>
      <td>70.259023</td>
      <td>81.673512</td>
      <td>84.048206</td>
      <td>6.121412</td>
      <td>99.713874</td>
      <td>22.287089</td>
      <td>5.031133</td>
      <td>98.607644</td>
    </tr>
    <tr>
      <th>Design</th>
      <td>91.889062</td>
      <td>33.180356</td>
      <td>44.976170</td>
      <td>4.650831</td>
      <td>23.552601</td>
      <td>44.844484</td>
      <td>48.034720</td>
      <td>35.943635</td>
      <td>6.668144</td>
      <td>49.581385</td>
      <td>60.276254</td>
      <td>16.919379</td>
    </tr>
    <tr>
      <th>Development</th>
      <td>43.435947</td>
      <td>48.184432</td>
      <td>60.138465</td>
      <td>96.105384</td>
      <td>76.520108</td>
      <td>97.216952</td>
      <td>2.405271</td>
      <td>45.229738</td>
      <td>65.374225</td>
      <td>95.843978</td>
      <td>13.232027</td>
      <td>28.388652</td>
    </tr>
    <tr>
      <th>Testing</th>
      <td>3.702947</td>
      <td>10.608936</td>
      <td>88.682769</td>
      <td>41.611065</td>
      <td>34.991805</td>
      <td>72.523592</td>
      <td>4.673213</td>
      <td>39.809569</td>
      <td>40.030614</td>
      <td>46.155176</td>
      <td>65.514757</td>
      <td>77.045514</td>
    </tr>
  </tbody>
</table>",yes
3,"Considering the Home Goods category, does Diana's revenue from the eastern area fall short of Charlie's earnings in the southern zone?","SELECT (SELECT SalesAmount FROM SalesData WHERE ProductCategory = ""Home Goods"" AND SalesRegion = ""East"" AND SalesPerson = ""Diana"") < (SELECT SalesAmount FROM SalesData WHERE ProductCategory = ""Home Goods"" AND SalesRegion = ""South"" AND SalesPerson = ""Charlie"") as SalesAmount;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>SalesPerson</th>
      <th colspan=""3"" halign=""left"">Alice</th>
      <th colspan=""3"" halign=""left"">Bob</th>
      <th colspan=""3"" halign=""left"">Charlie</th>
      <th colspan=""3"" halign=""left"">Diana</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home Goods</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home Goods</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home Goods</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home Goods</th>
    </tr>
    <tr>
      <th>SalesRegion</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>East</th>
      <td>7033.848155</td>
      <td>1272.512908</td>
      <td>7539.754941</td>
      <td>7808.001057</td>
      <td>3414.831286</td>
      <td>7516.460687</td>
      <td>4988.811259</td>
      <td>7147.429827</td>
      <td>1002.183569</td>
      <td>5746.313639</td>
      <td>2463.656400</td>
      <td>7509.357264</td>
    </tr>
    <tr>
      <th>North</th>
      <td>3619.385625</td>
      <td>6446.642013</td>
      <td>6617.396598</td>
      <td>8847.504918</td>
      <td>2137.501784</td>
      <td>9481.151934</td>
      <td>3319.960354</td>
      <td>951.111771</td>
      <td>4087.541493</td>
      <td>2298.129580</td>
      <td>1810.425429</td>
      <td>1793.903281</td>
    </tr>
    <tr>
      <th>South</th>
      <td>7502.773627</td>
      <td>2915.384128</td>
      <td>3034.136616</td>
      <td>6058.227892</td>
      <td>2815.775540</td>
      <td>6076.600949</td>
      <td>8867.994088</td>
      <td>7793.044361</td>
      <td>2397.905793</td>
      <td>1731.535842</td>
      <td>4559.833669</td>
      <td>2832.505270</td>
    </tr>
    <tr>
      <th>West</th>
      <td>3683.105207</td>
      <td>6809.663521</td>
      <td>8867.840293</td>
      <td>8014.419266</td>
      <td>7913.834763</td>
      <td>5725.623862</td>
      <td>7153.247978</td>
      <td>3400.641677</td>
      <td>9167.652045</td>
      <td>9696.432724</td>
      <td>7870.219716</td>
      <td>3830.454462</td>
    </tr>
  </tbody>
</table>",no
4,"On the first day of 2020, was the satisfaction rating for electronics-related complaints lower than that for clothing-related praises?","SELECT (SELECT SatisfactionLevel FROM CustomerFeedback WHERE FeedbackType = ""Complaint"" AND ProductCategory = ""Electronics"" AND FeedbackDate = ""2020-01-01"") < (SELECT SatisfactionLevel FROM CustomerFeedback WHERE FeedbackType = ""Praise"" AND ProductCategory = ""Clothing"" AND FeedbackDate = ""2020-01-01"") as SatisfactionLevel;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>FeedbackDate</th>
      <th colspan=""3"" halign=""left"">2020-01-01</th>
      <th colspan=""3"" halign=""left"">2023-12-31</th>
    </tr>
    <tr>
      <th>FeedbackType</th>
      <th>Complaint</th>
      <th>Praise</th>
      <th>Suggestion</th>
      <th>Complaint</th>
      <th>Praise</th>
      <th>Suggestion</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Clothing</th>
      <td>3.545442</td>
      <td>8.158786</td>
      <td>3.339341</td>
      <td>8.525358</td>
      <td>5.920367</td>
      <td>9.105511</td>
    </tr>
    <tr>
      <th>Electronics</th>
      <td>8.025872</td>
      <td>4.401601</td>
      <td>1.522813</td>
      <td>5.063850</td>
      <td>9.474067</td>
      <td>6.128622</td>
    </tr>
    <tr>
      <th>Home Goods</th>
      <td>7.503389</td>
      <td>6.583591</td>
      <td>5.861049</td>
      <td>4.894932</td>
      <td>6.487061</td>
      <td>4.608390</td>
    </tr>
  </tbody>
</table>",yes
5,Does SupplierC have a larger inventory count of the Laptop in Appliances compared to the Desk in Electronics?,"SELECT (SELECT StockLevel FROM InventoryManagement WHERE ItemName = ""Desk"" AND Category = ""Electronics"" AND Supplier = ""SupplierC"") > (SELECT StockLevel FROM InventoryManagement WHERE ItemName = ""Laptop"" AND Category = ""Appliances"" AND Supplier = ""SupplierC"") as StockLevel;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Category</th>
      <th>Appliances</th>
      <th>Electronics</th>
      <th>Furniture</th>
      <th>Stationery</th>
    </tr>
    <tr>
      <th>ItemName</th>
      <th>Supplier</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">Chair</th>
      <th>SupplierA</th>
      <td>799.975505</td>
      <td>207.097966</td>
      <td>602.607097</td>
      <td>211.560008</td>
    </tr>
    <tr>
      <th>SupplierB</th>
      <td>224.884202</td>
      <td>51.618758</td>
      <td>453.587667</td>
      <td>735.986295</td>
    </tr>
    <tr>
      <th>SupplierC</th>
      <td>333.534856</td>
      <td>356.528477</td>
      <td>689.146046</td>
      <td>216.296137</td>
    </tr>
    <tr>
      <th>SupplierD</th>
      <td>421.084554</td>
      <td>411.452607</td>
      <td>87.651664</td>
      <td>496.194065</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Desk</th>
      <th>SupplierA</th>
      <td>949.028242</td>
      <td>318.720489</td>
      <td>714.163434</td>
      <td>827.819853</td>
    </tr>
    <tr>
      <th>SupplierB</th>
      <td>515.884692</td>
      <td>574.625787</td>
      <td>574.383580</td>
      <td>741.981073</td>
    </tr>
    <tr>
      <th>SupplierC</th>
      <td>115.232948</td>
      <td>86.142946</td>
      <td>825.054104</td>
      <td>946.417631</td>
    </tr>
    <tr>
      <th>SupplierD</th>
      <td>870.887902</td>
      <td>977.163494</td>
      <td>641.026260</td>
      <td>902.886328</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Laptop</th>
      <th>SupplierA</th>
      <td>671.277087</td>
      <td>996.936194</td>
      <td>323.481624</td>
      <td>894.546292</td>
    </tr>
    <tr>
      <th>SupplierB</th>
      <td>78.716902</td>
      <td>460.277663</td>
      <td>20.761247</td>
      <td>538.493331</td>
    </tr>
    <tr>
      <th>SupplierC</th>
      <td>504.786142</td>
      <td>664.508399</td>
      <td>27.569211</td>
      <td>20.967133</td>
    </tr>
    <tr>
      <th>SupplierD</th>
      <td>25.487038</td>
      <td>422.364313</td>
      <td>760.458020</td>
      <td>165.553634</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Monitor</th>
      <th>SupplierA</th>
      <td>165.533194</td>
      <td>34.598803</td>
      <td>499.423442</td>
      <td>912.782926</td>
    </tr>
    <tr>
      <th>SupplierB</th>
      <td>337.175749</td>
      <td>765.274896</td>
      <td>29.439698</td>
      <td>928.981049</td>
    </tr>
    <tr>
      <th>SupplierC</th>
      <td>305.342009</td>
      <td>794.648231</td>
      <td>866.583701</td>
      <td>875.086707</td>
    </tr>
    <tr>
      <th>SupplierD</th>
      <td>216.316515</td>
      <td>47.322007</td>
      <td>628.374278</td>
      <td>671.670198</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Mouse</th>
      <th>SupplierA</th>
      <td>18.264815</td>
      <td>155.122851</td>
      <td>426.294967</td>
      <td>131.746493</td>
    </tr>
    <tr>
      <th>SupplierB</th>
      <td>711.346306</td>
      <td>853.996250</td>
      <td>72.250769</td>
      <td>220.131252</td>
    </tr>
    <tr>
      <th>SupplierC</th>
      <td>662.710007</td>
      <td>646.023064</td>
      <td>205.776509</td>
      <td>12.203838</td>
    </tr>
    <tr>
      <th>SupplierD</th>
      <td>92.375958</td>
      <td>409.154008</td>
      <td>790.386854</td>
      <td>109.011935</td>
    </tr>
  </tbody>
</table>",no
6,"Among employees who completed their training online, does the Technical Skills course require more time to finish than the Leadership program?","SELECT (SELECT TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Technical Skills"" AND TrainingLocation = ""Online"" AND CompletionStatus = ""Completed"") > (SELECT TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingLocation = ""Online"" AND CompletionStatus = ""Completed"") as TrainingDuration;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>TrainingLocation</th>
      <th colspan=""3"" halign=""left"">Hybrid</th>
      <th colspan=""3"" halign=""left"">On-site</th>
      <th colspan=""3"" halign=""left"">Online</th>
    </tr>
    <tr>
      <th>TrainingProgram</th>
      <th>Compliance</th>
      <th>Leadership</th>
      <th>Technical Skills</th>
      <th>Compliance</th>
      <th>Leadership</th>
      <th>Technical Skills</th>
      <th>Compliance</th>
      <th>Leadership</th>
      <th>Technical Skills</th>
    </tr>
    <tr>
      <th>CompletionStatus</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Completed</th>
      <td>8.598179</td>
      <td>4.731597</td>
      <td>30.728665</td>
      <td>25.391232</td>
      <td>21.345542</td>
      <td>30.947318</td>
      <td>27.563172</td>
      <td>6.209260</td>
      <td>23.916464</td>
    </tr>
    <tr>
      <th>In Progress</th>
      <td>9.973466</td>
      <td>18.801802</td>
      <td>20.579953</td>
      <td>25.941404</td>
      <td>22.038636</td>
      <td>17.752296</td>
      <td>30.508146</td>
      <td>14.074248</td>
      <td>8.640683</td>
    </tr>
    <tr>
      <th>Not Started</th>
      <td>8.879515</td>
      <td>9.919278</td>
      <td>16.379577</td>
      <td>23.119872</td>
      <td>4.844511</td>
      <td>30.161739</td>
      <td>25.699021</td>
      <td>4.618820</td>
      <td>13.094912</td>
    </tr>
  </tbody>
</table>",yes
7,Is the satisfaction rating for employees in the Engineering department who provided neutral feedback at least equal to the satisfaction rating of Marketing employees who gave positive feedback?,"SELECT (SELECT SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Engineering"" AND FeedbackCategory = ""Neutral"") >= (SELECT SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""Marketing"" AND FeedbackCategory = ""Positive"") as SatisfactionScore;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>FeedbackCategory</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>7.432450</td>
      <td>8.907494</td>
      <td>3.580398</td>
    </tr>
    <tr>
      <th>Finance</th>
      <td>3.530727</td>
      <td>6.063729</td>
      <td>4.706515</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>5.693583</td>
      <td>3.194829</td>
      <td>6.824585</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>1.040261</td>
      <td>9.485921</td>
      <td>8.184267</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>7.470744</td>
      <td>3.832751</td>
      <td>6.028953</td>
    </tr>
  </tbody>
</table>",yes
8,Is the level of employee engagement reflecting unfavorable feedback in the Sales division during 2021 equal to that of the HR division in 2023?,"SELECT (SELECT EngagementScore FROM EmployeeEngagement WHERE Department = ""Sales"" AND FeedbackType = ""Negative"" AND Year = ""2021"") = (SELECT EngagementScore FROM EmployeeEngagement WHERE Department = ""HR"" AND FeedbackType = ""Negative"" AND Year = ""2023"") as EngagementScore;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Department</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>FeedbackType</th>
      <th>Year</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Negative</th>
      <th>2021</th>
      <td>3.701044</td>
      <td>9.673464</td>
      <td>6.150629</td>
      <td>9.867875</td>
      <td>7.681804</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>4.987942</td>
      <td>5.389941</td>
      <td>6.274068</td>
      <td>7.894670</td>
      <td>5.012712</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>9.325492</td>
      <td>7.794073</td>
      <td>9.988111</td>
      <td>5.096544</td>
      <td>0.250366</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Neutral</th>
      <th>2021</th>
      <td>9.409594</td>
      <td>3.765226</td>
      <td>5.969141</td>
      <td>1.393156</td>
      <td>0.949784</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>5.523937</td>
      <td>1.960201</td>
      <td>9.723383</td>
      <td>9.358259</td>
      <td>1.547230</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>7.637382</td>
      <td>6.122594</td>
      <td>0.184937</td>
      <td>2.535709</td>
      <td>5.558064</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Positive</th>
      <th>2021</th>
      <td>5.168030</td>
      <td>2.494240</td>
      <td>1.408162</td>
      <td>4.454694</td>
      <td>0.438821</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>3.165867</td>
      <td>3.226648</td>
      <td>2.598666</td>
      <td>6.296812</td>
      <td>4.505084</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>4.591767</td>
      <td>5.328174</td>
      <td>9.614083</td>
      <td>7.877051</td>
      <td>8.640589</td>
    </tr>
  </tbody>
</table>",no
9,Do employees in the Sales department who handle heavy workloads put in the same number of hours as those in the Marketing team with lighter duties?,"SELECT (SELECT HoursWorked FROM EmployeeWorkload WHERE Department = ""Sales"" AND WorkloadCategory = ""Heavy"") = (SELECT HoursWorked FROM EmployeeWorkload WHERE Department = ""Marketing"" AND WorkloadCategory = ""Light"") as HoursWorked;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>WorkloadCategory</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Heavy</th>
      <td>74.576767</td>
      <td>73.601931</td>
      <td>12.279619</td>
      <td>28.145528</td>
    </tr>
    <tr>
      <th>Light</th>
      <td>61.169182</td>
      <td>19.435858</td>
      <td>27.097619</td>
      <td>56.923866</td>
    </tr>
    <tr>
      <th>Moderate</th>
      <td>8.316763</td>
      <td>65.471956</td>
      <td>9.978623</td>
      <td>12.256877</td>
    </tr>
  </tbody>
</table>",no
