Question,SQL Query,Method,Table,Label
"Considering patients aged 0 to 18 receiving Immunotherapy and those aged 36 to 50 undergoing Radiation Therapy, is the effectiveness score of the younger group's treatment at most equal to that of the older group's therapy?","SELECT (SELECT TreatmentOutcomeScore FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Immunotherapy"" AND PatientAgeGroup = ""0-18"") <= (SELECT TreatmentOutcomeScore FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Radiation Therapy"" AND PatientAgeGroup = ""36-50"") as TreatmentOutcomeScore;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>Gender</th>
      <th colspan=""4"" halign=""left"">Female</th>
      <th colspan=""4"" halign=""left"">Male</th>
      <th colspan=""4"" halign=""left"">Non-Binary</th>
    </tr>
    <tr>
      <th>TreatmentType</th>
      <th>Chemotherapy</th>
      <th>Immunotherapy</th>
      <th>Radiation Therapy</th>
      <th>Surgery</th>
      <th>Chemotherapy</th>
      <th>Immunotherapy</th>
      <th>Radiation Therapy</th>
      <th>Surgery</th>
      <th>Chemotherapy</th>
      <th>Immunotherapy</th>
      <th>Radiation Therapy</th>
      <th>Surgery</th>
    </tr>
    <tr>
      <th>PatientAgeGroup</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>0-18</th>
      <td>NaN</td>
      <td>1.4754</td>
      <td>53.268143</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>88.266798</td>
      <td>8.446399</td>
      <td>NaN</td>
      <td>86.370476</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>19-35</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>22.079563</td>
      <td>51.190108</td>
      <td>NaN</td>
      <td>28.787405</td>
      <td>44.772194</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>46.343588</td>
      <td>72.582383</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>36-50</th>
      <td>94.685351</td>
      <td>NaN</td>
      <td>74.490674</td>
      <td>83.862620</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>29.710568</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>53.804852</td>
    </tr>
    <tr>
      <th>51+</th>
      <td>55.112750</td>
      <td>51.0986</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>5.486806</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>98.789213</td>
    </tr>
  </tbody>
</table>",yes
Is the amount prescribed of Metformin for treating bacterial infections less than the dosage of Aspirin used for alleviating pain?,"SELECT (SELECT Dosage FROM PatientMedicationData WHERE MedicationName = ""Metformin"" AND PatientCondition = ""Bacterial Infection"") < (SELECT Dosage FROM PatientMedicationData WHERE MedicationName = ""Aspirin"" AND PatientCondition = ""Pain Relief"") as Dosage;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>MedicationName</th>
      <th colspan=""3"" halign=""left"">Amoxicillin</th>
      <th colspan=""3"" halign=""left"">Aspirin</th>
      <th colspan=""3"" halign=""left"">Lisinopril</th>
      <th colspan=""4"" halign=""left"">Metformin</th>
    </tr>
    <tr>
      <th>PatientCondition</th>
      <th>Cardiovascular</th>
      <th>Diabetes</th>
      <th>Hypertension</th>
      <th>Bacterial Infection</th>
      <th>Diabetes</th>
      <th>Pain Relief</th>
      <th>Bacterial Infection</th>
      <th>Cardiovascular</th>
      <th>Pain Relief</th>
      <th>Bacterial Infection</th>
      <th>Cardiovascular</th>
      <th>Diabetes</th>
      <th>Hypertension</th>
    </tr>
    <tr>
      <th>AdministrationRoute</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Inhalation</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>111.057065</td>
      <td>482.38068</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>136.707056</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Intravenous</th>
      <td>240.565153</td>
      <td>26.500324</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>197.947394</td>
      <td>290.734733</td>
      <td>463.856861</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Oral</th>
      <td>214.516889</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>105.409812</td>
      <td>79.843493</td>
      <td>400.014430</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Subcutaneous</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>292.140652</td>
      <td>NaN</td>
      <td>413.765055</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>375.094655</td>
      <td>NaN</td>
      <td>37.585521</td>
      <td>NaN</td>
      <td>24.814694</td>
    </tr>
    <tr>
      <th>Topical</th>
      <td>NaN</td>
      <td>400.566780</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>456.641152</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>382.583651</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",no
Is the expense for a Follow-Up appointment with a stable patient lower than the charge for a Specialist Consultation involving a critical patient?,"SELECT (SELECT Cost FROM PatientVisitRecords WHERE VisitType = ""Follow-Up"" AND PatientStatus = ""Stable"") < (SELECT Cost FROM PatientVisitRecords WHERE VisitType = ""Specialist Consultation"" AND PatientStatus = ""Critical"") as Cost;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>VisitType</th>
      <th>Emergency Visit</th>
      <th>Follow-Up</th>
      <th>Routine Checkup</th>
      <th>Specialist Consultation</th>
    </tr>
    <tr>
      <th>PatientStatus</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Critical</th>
      <td>7369.148856</td>
      <td>3281.594030</td>
      <td>1857.830635</td>
      <td>8181.199031</td>
    </tr>
    <tr>
      <th>Discharged</th>
      <td>1769.263612</td>
      <td>435.486455</td>
      <td>2117.904725</td>
      <td>5211.034579</td>
    </tr>
    <tr>
      <th>Recovering</th>
      <td>4962.331138</td>
      <td>8530.721737</td>
      <td>8916.760641</td>
      <td>9256.211567</td>
    </tr>
    <tr>
      <th>Stable</th>
      <td>8299.265440</td>
      <td>9015.580337</td>
      <td>6723.437473</td>
      <td>1241.869306</td>
    </tr>
  </tbody>
</table>",no
Do patients suffering from Critical Conditions who undergo Physical Therapy tend to recuperate more rapidly compared to those with Chronic Conditions treated with Medication?,"SELECT (SELECT RecoveryTime FROM PatientHealthMetrics WHERE HealthStatus = ""Critical Condition"" AND TreatmentPlan = ""Physical Therapy"") < (SELECT RecoveryTime FROM PatientHealthMetrics WHERE HealthStatus = ""Chronic Condition"" AND TreatmentPlan = ""Medication"") as RecoveryTime;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>HealthStatus</th>
      <th>Chronic Condition</th>
      <th>Critical Condition</th>
      <th>Healthy</th>
      <th>Minor Illness</th>
    </tr>
    <tr>
      <th>TreatmentPlan</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Lifestyle Changes</th>
      <td>38.606629</td>
      <td>46.854719</td>
      <td>34.047215</td>
      <td>18.930139</td>
    </tr>
    <tr>
      <th>Medication</th>
      <td>48.453631</td>
      <td>51.232403</td>
      <td>48.589581</td>
      <td>41.304096</td>
    </tr>
    <tr>
      <th>Physical Therapy</th>
      <td>10.114547</td>
      <td>29.054677</td>
      <td>7.867924</td>
      <td>43.602312</td>
    </tr>
    <tr>
      <th>Surgery</th>
      <td>25.496040</td>
      <td>35.894483</td>
      <td>7.660865</td>
      <td>10.560150</td>
    </tr>
  </tbody>
</table>",yes
Did the recorded vital sign in the ICU show an increase or remain the same when comparing the beginning of 2020 to the end of 2023?,"SELECT (SELECT VitalSignValue FROM PatientMonitoringData WHERE MonitoringLocation = ""ICU"" AND MonitoringDate = ""2020-01-01"") < (SELECT VitalSignValue FROM PatientMonitoringData WHERE MonitoringLocation = ""ICU"" AND MonitoringDate = ""2023-12-31"") as VitalSignValue;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>MonitoringDate</th>
      <th>2020-01-01</th>
      <th>2023-12-31</th>
    </tr>
    <tr>
      <th>MonitoringLocation</th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Emergency Room</th>
      <td>116.719088</td>
      <td>11.554224</td>
    </tr>
    <tr>
      <th>ICU</th>
      <td>91.482231</td>
      <td>84.601126</td>
    </tr>
    <tr>
      <th>Outpatient Clinic</th>
      <td>73.149196</td>
      <td>22.245367</td>
    </tr>
    <tr>
      <th>Ward</th>
      <td>97.453199</td>
      <td>48.549806</td>
    </tr>
  </tbody>
</table>",no
"Considering patients aged 66 and above who are dissatisfied with their treatment, does the effectiveness rating fall at or below the score given by patients aged 36 to 50 who reported being very dissatisfied?","SELECT (SELECT TreatmentEffectivenessScore FROM PatientFeedbackSurvey WHERE PatientAgeRange = ""66+"" AND SatisfactionLevel = ""Dissatisfied"") <= (SELECT TreatmentEffectivenessScore FROM PatientFeedbackSurvey WHERE PatientAgeRange = ""36-50"" AND SatisfactionLevel = ""Very Dissatisfied"") as TreatmentEffectivenessScore;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>FollowUpRecommendation</th>
      <th colspan=""4"" halign=""left"">Maybe</th>
      <th colspan=""5"" halign=""left"">No</th>
      <th colspan=""4"" halign=""left"">Yes</th>
    </tr>
    <tr>
      <th>PatientAgeRange</th>
      <th>0-18</th>
      <th>19-35</th>
      <th>36-50</th>
      <th>66+</th>
      <th>0-18</th>
      <th>19-35</th>
      <th>36-50</th>
      <th>51-65</th>
      <th>66+</th>
      <th>19-35</th>
      <th>36-50</th>
      <th>51-65</th>
      <th>66+</th>
    </tr>
    <tr>
      <th>SatisfactionLevel</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Dissatisfied</th>
      <td>1.909911</td>
      <td>NaN</td>
      <td>0.669490</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>8.271355</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>0.865279</td>
      <td>2.390174</td>
      <td>5.669332</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Neutral</th>
      <td>NaN</td>
      <td>5.028957</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>3.808313</td>
      <td>7.765535</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>4.156814</td>
      <td>7.172997</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Satisfied</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>9.405289</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>4.113253</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>5.728471</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Very Dissatisfied</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>3.857210</td>
      <td>9.467743</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>6.012665</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Very Satisfied</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>2.565815</td>
      <td>6.787821</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>4.497885</td>
    </tr>
  </tbody>
</table>",yes
Does the expense for Radiation Therapy provided by City Hospital surpass the cost charged for Physical Therapy services at General Care Clinic?,"SELECT (SELECT TreatmentCost FROM PatientTreatmentDetails WHERE TreatmentType = ""Radiation Therapy"" AND HealthcareProvider = ""City Hospital"") > (SELECT TreatmentCost FROM PatientTreatmentDetails WHERE TreatmentType = ""Physical Therapy"" AND HealthcareProvider = ""General Care Clinic"") as TreatmentCost;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>TreatmentType</th>
      <th colspan=""3"" halign=""left"">Chemotherapy</th>
      <th colspan=""2"" halign=""left"">Medication</th>
      <th colspan=""3"" halign=""left"">Physical Therapy</th>
      <th colspan=""3"" halign=""left"">Radiation Therapy</th>
      <th colspan=""3"" halign=""left"">Surgery</th>
    </tr>
    <tr>
      <th>HealthcareProvider</th>
      <th>City Hospital</th>
      <th>General Care Clinic</th>
      <th>Specialty Health Center</th>
      <th>Community Health Organization</th>
      <th>General Care Clinic</th>
      <th>Community Health Organization</th>
      <th>General Care Clinic</th>
      <th>Specialty Health Center</th>
      <th>City Hospital</th>
      <th>General Care Clinic</th>
      <th>Specialty Health Center</th>
      <th>City Hospital</th>
      <th>General Care Clinic</th>
      <th>Specialty Health Center</th>
    </tr>
    <tr>
      <th>TreatmentOutcome</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>In Progress</th>
      <td>NaN</td>
      <td>6893.617132</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>8397.901212</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>41107.812215</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>30781.069333</td>
    </tr>
    <tr>
      <th>Needs Follow-Up</th>
      <td>25696.622564</td>
      <td>NaN</td>
      <td>31142.268322</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>13118.559206</td>
      <td>41054.299833</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>16840.745230</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Partially Successful</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>25349.160082</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>18595.688708</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Successful</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>40354.356953</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>35118.590319</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Unsuccessful</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>26923.711841</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>6021.307553</td>
      <td>NaN</td>
      <td>10110.436001</td>
      <td>6500.272814</td>
      <td>27026.530752</td>
      <td>30096.328412</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",yes
Does the higher 1 gram dose of Ibuprofen produce side effects that are equal to or more severe than those caused by the 200 milligram dose?,"SELECT (SELECT SideEffectsScore FROM PatientMedicationDetails WHERE MedicationName = ""Ibuprofen"" AND Dosage = ""1 g"") >= (SELECT SideEffectsScore FROM PatientMedicationDetails WHERE MedicationName = ""Ibuprofen"" AND Dosage = ""200 mg"") as SideEffectsScore;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>MedicationName</th>
      <th colspan=""3"" halign=""left"">Amoxicillin</th>
      <th colspan=""3"" halign=""left"">Aspirin</th>
      <th colspan=""3"" halign=""left"">Ibuprofen</th>
      <th colspan=""3"" halign=""left"">Lisinopril</th>
      <th colspan=""3"" halign=""left"">Metformin</th>
    </tr>
    <tr>
      <th>Dosage</th>
      <th>1 g</th>
      <th>200 mg</th>
      <th>500 mg</th>
      <th>1 g</th>
      <th>200 mg</th>
      <th>500 mg</th>
      <th>1 g</th>
      <th>100 mg</th>
      <th>200 mg</th>
      <th>1 g</th>
      <th>100 mg</th>
      <th>200 mg</th>
      <th>100 mg</th>
      <th>200 mg</th>
      <th>500 mg</th>
    </tr>
    <tr>
      <th>AdministrationRoute</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Intravenous</th>
      <td>NaN</td>
      <td>2.562298</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>2.909171</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>9.182404</td>
      <td>NaN</td>
      <td>0.279389</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Oral</th>
      <td>2.860746</td>
      <td>NaN</td>
      <td>7.680037</td>
      <td>2.590053</td>
      <td>8.786538</td>
      <td>1.194142</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>3.571655</td>
      <td>8.515088</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Subcutaneous</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>3.552884</td>
      <td>5.841568</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>0.791251</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>0.666955</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Topical</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>5.70125</td>
      <td>NaN</td>
      <td>5.510679</td>
      <td>NaN</td>
      <td>0.797157</td>
      <td>NaN</td>
      <td>2.917035</td>
      <td>1.522286</td>
    </tr>
  </tbody>
</table>",yes
"Considering the durations patients spend in the hospital, is the length of stay for those receiving Physical Therapy due to high blood pressure less than or equal to the time spent by patients undergoing Radiation treatment for Heart Disease?","SELECT (SELECT HospitalVisitDuration FROM PatientTreatmentMetrics WHERE TreatmentType = ""Physical Therapy"" AND DiagnosisType = ""Hypertension"") <= (SELECT HospitalVisitDuration FROM PatientTreatmentMetrics WHERE TreatmentType = ""Radiation"" AND DiagnosisType = ""Heart Disease"") as HospitalVisitDuration;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>DiagnosisType</th>
      <th colspan=""3"" halign=""left"">Cancer</th>
      <th colspan=""3"" halign=""left"">Diabetes</th>
      <th colspan=""3"" halign=""left"">Heart Disease</th>
      <th colspan=""4"" halign=""left"">Hypertension</th>
    </tr>
    <tr>
      <th>TreatmentType</th>
      <th>Physical Therapy</th>
      <th>Radiation</th>
      <th>Surgery</th>
      <th>Chemotherapy</th>
      <th>Physical Therapy</th>
      <th>Surgery</th>
      <th>Chemotherapy</th>
      <th>Physical Therapy</th>
      <th>Radiation</th>
      <th>Chemotherapy</th>
      <th>Physical Therapy</th>
      <th>Radiation</th>
      <th>Surgery</th>
    </tr>
    <tr>
      <th>InsurancePlan</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>HMO</th>
      <td>NaN</td>
      <td>39.164848</td>
      <td>NaN</td>
      <td>75.455826</td>
      <td>65.828449</td>
      <td>41.252169</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>22.73321</td>
      <td>31.014364</td>
      <td>NaN</td>
      <td>89.670705</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Medicaid</th>
      <td>83.467953</td>
      <td>NaN</td>
      <td>21.545768</td>
      <td>NaN</td>
      <td>16.282061</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>53.892083</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Medicare</th>
      <td>63.654830</td>
      <td>NaN</td>
      <td>59.236101</td>
      <td>45.857231</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>31.722764</td>
      <td>8.414201</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>PPO</th>
      <td>NaN</td>
      <td>36.345937</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>33.885503</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>12.677502</td>
      <td>NaN</td>
      <td>40.205223</td>
    </tr>
  </tbody>
</table>",yes
"Among patients who strictly follow their medication regimen, does Simvastatin cause more severe side effects compared to Lisinopril?","SELECT (SELECT SideEffectsSeverity FROM PatientMedicationAdherence WHERE MedicationName = ""Simvastatin"" AND AdherenceLevel = ""Fully Adherent"") > (SELECT SideEffectsSeverity FROM PatientMedicationAdherence WHERE MedicationName = ""Lisinopril"" AND AdherenceLevel = ""Fully Adherent"") as SideEffectsSeverity;",comparative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>TreatmentDuration</th>
      <th>19</th>
      <th>92</th>
      <th>123</th>
      <th colspan=""2"" halign=""left"">124</th>
      <th>133</th>
      <th>143</th>
      <th>159</th>
      <th>179</th>
      <th>180</th>
      <th>190</th>
      <th>289</th>
      <th>313</th>
      <th>357</th>
      <th>362</th>
    </tr>
    <tr>
      <th>AdherenceLevel</th>
      <th>Fully Adherent</th>
      <th>Partially Adherent</th>
      <th>Fully Adherent</th>
      <th>Fully Adherent</th>
      <th>Partially Adherent</th>
      <th>Partially Adherent</th>
      <th>Non-Adherent</th>
      <th>Fully Adherent</th>
      <th>Fully Adherent</th>
      <th>Non-Adherent</th>
      <th>Non-Adherent</th>
      <th>Partially Adherent</th>
      <th>Non-Adherent</th>
      <th>Partially Adherent</th>
      <th>Non-Adherent</th>
    </tr>
    <tr>
      <th>MedicationName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Amlodipine</th>
      <td>NaN</td>
      <td>6.620817</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>7.276563</td>
      <td>NaN</td>
      <td>9.631437</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Levothyroxine</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>2.842392</td>
      <td>NaN</td>
      <td>2.695982</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>1.629288</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Lisinopril</th>
      <td>2.999229</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>0.671838</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>8.769254</td>
    </tr>
    <tr>
      <th>Metformin</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>5.893872</td>
      <td>NaN</td>
      <td>2.157554</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>4.906396</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Simvastatin</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>0.285797</td>
      <td>NaN</td>
      <td>4.165005</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>2.904539</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",no
