,Question,SQL Query,Method,Table,Label
0,What is the combined average performance rating of employees holding managerial roles in the Engineering department and those working as junior developers within the Finance division?,"SELECT AVG(PerformanceScore) AS PerformanceScore FROM (SELECT PerformanceScore AS PerformanceScore FROM EmployeePerformance WHERE Department = ""Engineering"" AND JobTitle = ""Manager"" UNION ALL SELECT PerformanceScore AS PerformanceScore FROM EmployeePerformance WHERE Department = ""Finance"" AND JobTitle = ""Junior Developer"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>JobTitle</th>
      <th>Analyst</th>
      <th>Intern</th>
      <th>Junior Developer</th>
      <th>Manager</th>
      <th>Senior Developer</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>2.960493</td>
      <td>76.845239</td>
      <td>86.811715</td>
      <td>25.628049</td>
      <td>98.823698</td>
    </tr>
    <tr>
      <th>Finance</th>
      <td>60.387349</td>
      <td>85.852819</td>
      <td>91.576160</td>
      <td>23.886206</td>
      <td>13.130875</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>62.606304</td>
      <td>63.932961</td>
      <td>29.733371</td>
      <td>58.271328</td>
      <td>17.659774</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>72.159152</td>
      <td>87.141367</td>
      <td>14.844475</td>
      <td>15.371442</td>
      <td>86.641697</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>78.564397</td>
      <td>92.087122</td>
      <td>23.137743</td>
      <td>61.580467</td>
      <td>52.890893</td>
    </tr>
  </tbody>
</table>",58.602105
1,"What is the mean budget amount when combining the completed projects named A, B, and C with the project D that is currently on hold?","SELECT AVG(Budget) AS Budget FROM (SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Project C"" AND ProjectStatus = ""Completed"" UNION ALL SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Project B"" AND ProjectStatus = ""Completed"" UNION ALL SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Project D"" AND ProjectStatus = ""On Hold"" UNION ALL SELECT Budget AS Budget FROM ProjectMetrics WHERE ProjectName = ""Project A"" AND ProjectStatus = ""Completed"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProjectStatus</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>On Hold</th>
    </tr>
    <tr>
      <th>ProjectName</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Project A</th>
      <td>790341.042566</td>
      <td>530320.030637</td>
      <td>211439.937907</td>
    </tr>
    <tr>
      <th>Project B</th>
      <td>298996.017732</td>
      <td>499329.796278</td>
      <td>413700.901601</td>
    </tr>
    <tr>
      <th>Project C</th>
      <td>262192.882411</td>
      <td>122564.551728</td>
      <td>72514.936037</td>
    </tr>
    <tr>
      <th>Project D</th>
      <td>952551.815390</td>
      <td>486118.298337</td>
      <td>825516.262804</td>
    </tr>
  </tbody>
</table>",544261.551378
2,What is the mean collaboration rating for Team C when they participate in face-to-face sessions across both Project Y and Project Z?,"SELECT AVG(CollaborationScore) AS CollaborationScore FROM (SELECT CollaborationScore AS CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Team C"" AND ProjectName = ""Project Z"" AND CollaborationType = ""In-Person"" UNION ALL SELECT CollaborationScore AS CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Team C"" AND ProjectName = ""Project Y"" AND CollaborationType = ""In-Person"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>CollaborationType</th>
      <th colspan=""4"" halign=""left"">Hybrid</th>
      <th colspan=""4"" halign=""left"">In-Person</th>
      <th colspan=""4"" halign=""left"">Remote</th>
    </tr>
    <tr>
      <th>TeamName</th>
      <th>Team A</th>
      <th>Team B</th>
      <th>Team C</th>
      <th>Team D</th>
      <th>Team A</th>
      <th>Team B</th>
      <th>Team C</th>
      <th>Team D</th>
      <th>Team A</th>
      <th>Team B</th>
      <th>Team C</th>
      <th>Team D</th>
    </tr>
    <tr>
      <th>ProjectName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Project X</th>
      <td>6.739902</td>
      <td>3.334314</td>
      <td>2.179145</td>
      <td>6.074611</td>
      <td>7.333055</td>
      <td>2.918986</td>
      <td>3.743150</td>
      <td>4.532536</td>
      <td>3.960092</td>
      <td>0.252296</td>
      <td>2.996610</td>
      <td>6.334984</td>
    </tr>
    <tr>
      <th>Project Y</th>
      <td>7.658415</td>
      <td>6.133219</td>
      <td>8.857216</td>
      <td>1.478684</td>
      <td>0.384579</td>
      <td>1.076132</td>
      <td>5.758623</td>
      <td>1.643566</td>
      <td>8.504732</td>
      <td>0.353807</td>
      <td>1.589910</td>
      <td>4.343691</td>
    </tr>
    <tr>
      <th>Project Z</th>
      <td>5.335312</td>
      <td>5.171286</td>
      <td>8.731488</td>
      <td>0.173997</td>
      <td>4.125314</td>
      <td>4.267035</td>
      <td>9.047447</td>
      <td>1.906367</td>
      <td>4.084119</td>
      <td>4.578508</td>
      <td>3.979741</td>
      <td>1.980757</td>
    </tr>
  </tbody>
</table>",7.403035
3,What is the combined average length of training sessions for employees who did not succeed in the 2023 Leadership course and those who successfully completed the Soft Skills training in 2021?,"SELECT AVG(TrainingDuration) AS TrainingDuration FROM (SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingYear = ""2023"" AND TrainingOutcome = ""Failed"" UNION ALL SELECT TrainingDuration AS TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Soft Skills"" AND TrainingYear = ""2021"" AND TrainingOutcome = ""Passed"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>TrainingYear</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
    <tr>
      <th>TrainingProgram</th>
      <th>TrainingOutcome</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Leadership</th>
      <th>Failed</th>
      <td>24.991236</td>
      <td>24.949369</td>
      <td>9.797567</td>
    </tr>
    <tr>
      <th>Passed</th>
      <td>31.076861</td>
      <td>3.579822</td>
      <td>15.000766</td>
    </tr>
    <tr>
      <th>Pending</th>
      <td>11.299770</td>
      <td>26.391141</td>
      <td>29.015321</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Soft Skills</th>
      <th>Failed</th>
      <td>34.655742</td>
      <td>27.847599</td>
      <td>7.121108</td>
    </tr>
    <tr>
      <th>Passed</th>
      <td>36.309891</td>
      <td>15.429708</td>
      <td>28.424934</td>
    </tr>
    <tr>
      <th>Pending</th>
      <td>2.323447</td>
      <td>39.023323</td>
      <td>19.546844</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Technical Skills</th>
      <th>Failed</th>
      <td>7.203740</td>
      <td>5.654667</td>
      <td>22.747905</td>
    </tr>
    <tr>
      <th>Passed</th>
      <td>30.513497</td>
      <td>6.297339</td>
      <td>34.893216</td>
    </tr>
    <tr>
      <th>Pending</th>
      <td>20.201612</td>
      <td>34.129419</td>
      <td>11.218075</td>
    </tr>
  </tbody>
</table>",23.053729
4,What is the combined average satisfaction score of employees working as Developers in the HR division and those holding Manager positions within the Marketing team?,"SELECT AVG(SatisfactionLevel) AS SatisfactionLevel FROM (SELECT SatisfactionLevel AS SatisfactionLevel FROM EmployeeSatisfaction WHERE Department = ""HR"" AND JobRole = ""Developer"" UNION ALL SELECT SatisfactionLevel AS SatisfactionLevel FROM EmployeeSatisfaction WHERE Department = ""Marketing"" AND JobRole = ""Manager"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>JobRole</th>
      <th>Analyst</th>
      <th>Developer</th>
      <th>Intern</th>
      <th>Manager</th>
      <th>Sales Associate</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>3.589500</td>
      <td>2.399108</td>
      <td>3.451748</td>
      <td>3.010147</td>
      <td>1.923869</td>
    </tr>
    <tr>
      <th>Finance</th>
      <td>4.602091</td>
      <td>1.520347</td>
      <td>2.086208</td>
      <td>3.108108</td>
      <td>1.291650</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>4.570728</td>
      <td>2.031292</td>
      <td>2.845616</td>
      <td>2.825811</td>
      <td>1.814872</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>3.372498</td>
      <td>2.437064</td>
      <td>1.898862</td>
      <td>1.817563</td>
      <td>1.549037</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>1.674183</td>
      <td>2.135448</td>
      <td>4.967960</td>
      <td>1.158939</td>
      <td>2.900694</td>
    </tr>
  </tbody>
</table>",1.924428
5,"What is the mean satisfaction rating for employees who are either highly engaged in Sales, have low engagement in Marketing, or have a medium engagement level in Sales?","SELECT AVG(SatisfactionScore) AS SatisfactionScore FROM (SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""High"" AND Department = ""Sales"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""Low"" AND Department = ""Marketing"" UNION ALL SELECT SatisfactionScore AS SatisfactionScore FROM EmployeeEngagement WHERE EngagementLevel = ""Medium"" AND Department = ""Sales"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>EngagementLevel</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>High</th>
      <td>1.213367</td>
      <td>5.147793</td>
      <td>7.773897</td>
      <td>0.071029</td>
      <td>0.324238</td>
    </tr>
    <tr>
      <th>Low</th>
      <td>5.204115</td>
      <td>6.520404</td>
      <td>9.568035</td>
      <td>1.771948</td>
      <td>5.413205</td>
    </tr>
    <tr>
      <th>Medium</th>
      <td>5.593932</td>
      <td>8.002310</td>
      <td>8.004382</td>
      <td>3.501747</td>
      <td>1.224553</td>
    </tr>
  </tbody>
</table>",1.106913
6,"What is the combined average pay for Senior Developers working in Engineering and Managers employed across HR, Sales, and Marketing departments?","SELECT AVG(Salary) AS Salary FROM (SELECT Salary AS Salary FROM EmployeeDemographics WHERE Department = ""Engineering"" AND JobTitle = ""Senior Developer"" UNION ALL SELECT Salary AS Salary FROM EmployeeDemographics WHERE Department = ""HR"" AND JobTitle = ""Manager"" UNION ALL SELECT Salary AS Salary FROM EmployeeDemographics WHERE Department = ""Sales"" AND JobTitle = ""Manager"" UNION ALL SELECT Salary AS Salary FROM EmployeeDemographics WHERE Department = ""Marketing"" AND JobTitle = ""Manager"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>JobTitle</th>
      <th>Analyst</th>
      <th>Intern</th>
      <th>Junior Developer</th>
      <th>Manager</th>
      <th>Senior Developer</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>110148.443867</td>
      <td>60790.830868</td>
      <td>135381.149469</td>
      <td>138410.147223</td>
      <td>51167.739907</td>
    </tr>
    <tr>
      <th>Finance</th>
      <td>128327.699257</td>
      <td>68099.361138</td>
      <td>108839.617359</td>
      <td>61731.732123</td>
      <td>49604.524944</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>94908.256633</td>
      <td>96494.980784</td>
      <td>135040.164359</td>
      <td>81600.606874</td>
      <td>93403.481351</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>73461.764778</td>
      <td>132054.742573</td>
      <td>89673.239861</td>
      <td>38630.393843</td>
      <td>44138.290424</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>112569.119406</td>
      <td>139554.572700</td>
      <td>68399.826146</td>
      <td>102177.797108</td>
      <td>117090.928059</td>
    </tr>
  </tbody>
</table>",68394.134433
7,What is the combined average score of negative feedback from the HR and Sales teams along with positive feedback from the IT department?,"SELECT AVG(Rating) AS Rating FROM (SELECT Rating AS Rating FROM EmployeeFeedback WHERE Department = ""HR"" AND FeedbackType = ""Negative"" UNION ALL SELECT Rating AS Rating FROM EmployeeFeedback WHERE Department = ""Sales"" AND FeedbackType = ""Negative"" UNION ALL SELECT Rating AS Rating FROM EmployeeFeedback WHERE Department = ""IT"" AND FeedbackType = ""Positive"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>FeedbackType</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Finance</th>
      <td>4.724207</td>
      <td>4.160313</td>
      <td>3.431081</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>4.567835</td>
      <td>1.172097</td>
      <td>4.008437</td>
    </tr>
    <tr>
      <th>IT</th>
      <td>1.875525</td>
      <td>1.244513</td>
      <td>1.908578</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>2.676243</td>
      <td>3.636051</td>
      <td>4.377067</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>3.695914</td>
      <td>2.524913</td>
      <td>2.524159</td>
    </tr>
  </tbody>
</table>",3.390776
8,What is the combined average number of hours worked by staff classified under the Light workload in both the IT and Marketing divisions?,"SELECT AVG(HoursWorked) AS HoursWorked FROM (SELECT HoursWorked AS HoursWorked FROM EmployeeWorkload WHERE Department = ""IT"" AND WorkloadCategory = ""Light"" UNION ALL SELECT HoursWorked AS HoursWorked FROM EmployeeWorkload WHERE Department = ""Marketing"" AND WorkloadCategory = ""Light"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>WorkloadCategory</th>
      <th>Heavy</th>
      <th>Light</th>
      <th>Moderate</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>HR</th>
      <td>64.938191</td>
      <td>66.489456</td>
      <td>36.407905</td>
    </tr>
    <tr>
      <th>IT</th>
      <td>10.596357</td>
      <td>9.787300</td>
      <td>15.709091</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>61.708047</td>
      <td>15.495293</td>
      <td>61.562789</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>35.858328</td>
      <td>47.812171</td>
      <td>65.255234</td>
    </tr>
  </tbody>
</table>",12.641297
9,"What is the mean number of hours worked by employees who were either present in the Finance department on January 1st and December 31st, present in the Marketing department on December 31st, or absent in the Marketing department on December 31st?","SELECT AVG(HoursWorked) AS HoursWorked FROM (SELECT HoursWorked AS HoursWorked FROM EmployeeAttendance WHERE AttendanceDate = ""2023-12-31"" AND AttendanceStatus = ""Present"" AND Department = ""Finance"" UNION ALL SELECT HoursWorked AS HoursWorked FROM EmployeeAttendance WHERE AttendanceDate = ""2023-01-01"" AND AttendanceStatus = ""Present"" AND Department = ""Finance"" UNION ALL SELECT HoursWorked AS HoursWorked FROM EmployeeAttendance WHERE AttendanceDate = ""2023-12-31"" AND AttendanceStatus = ""Present"" AND Department = ""Marketing"" UNION ALL SELECT HoursWorked AS HoursWorked FROM EmployeeAttendance WHERE AttendanceDate = ""2023-12-31"" AND AttendanceStatus = ""Absent"" AND Department = ""Marketing"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>AttendanceStatus</th>
      <th colspan=""2"" halign=""left"">Absent</th>
      <th colspan=""2"" halign=""left"">On Leave</th>
      <th colspan=""2"" halign=""left"">Present</th>
    </tr>
    <tr>
      <th>AttendanceDate</th>
      <th>2023-01-01</th>
      <th>2023-12-31</th>
      <th>2023-01-01</th>
      <th>2023-12-31</th>
      <th>2023-01-01</th>
      <th>2023-12-31</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Finance</th>
      <td>16.512513</td>
      <td>23.072149</td>
      <td>19.931184</td>
      <td>16.393348</td>
      <td>16.779965</td>
      <td>18.889967</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>22.476773</td>
      <td>7.502236</td>
      <td>5.806826</td>
      <td>5.885617</td>
      <td>11.590023</td>
      <td>13.036394</td>
    </tr>
    <tr>
      <th>IT</th>
      <td>10.069379</td>
      <td>10.960427</td>
      <td>4.527320</td>
      <td>13.001658</td>
      <td>19.138698</td>
      <td>19.259156</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>9.483011</td>
      <td>13.085493</td>
      <td>13.859039</td>
      <td>20.892070</td>
      <td>6.153124</td>
      <td>22.486581</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>17.867654</td>
      <td>18.626820</td>
      <td>16.115537</td>
      <td>14.872369</td>
      <td>18.529259</td>
      <td>11.812329</td>
    </tr>
  </tbody>
</table>",17.810501
