index,question,value,response,correct
0,What is the average total waste in tons for the years 2022 and 2023?,4710.0, 4710.00,True
1,What is the increase in the amount of unsorted waste (in tons) from 2022 to 2023?,802.0, -802.00,False
2,What is the sum of the total waste in tons for the years 2022 and 2023?,9420.0, 9420.00,True
3,What is the percentage reduction in the amount of unsorted waste from 2022 to 2023?,29.09, 29.09%,True
4,What is the difference in total waste (T) from 2022 to 2023?,720.0, -720.00 t,False
5,What is the average intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2022?,18.0," 17.00, 19.00",False
6,What is the increase between the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities in 2023 and 2022?,0.0, 0.00,True
7,What is the sum of intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2021?,36.0, 36.00 kg co2e/boe,True
8,What is the percentage reduction in the intensity of GHG emissions (Scope 1+2) of upstream oil and gas activities on an equity basis from 2021 to 2023?,5.26, 5.26%,True
9,What is the reduction between the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2023 and 2021?,0.02, 0.02%,True
10,What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities (Upstream) when comparing the values from 2021 to 2022?,15.38, 15.38%,True
11,"What is the average intensity of methane emissions from operated oil and gas facilities (Upstream) for the years 2023, 2022, 2021, and 2015?",0.14," 0.11, 0.11, 0.13, 0.23",False
12,What is the increase in the intensity of methane emissions from operated oil and gas facilities (Upstream) between the years 2015 and 2022?,-0.12, -0.12 percentage points,True
13,What is the average net primary energy consumption (in TWh) from the years 2015 to 2023?,155.17, 155.17 twh,True
14,What is the increase in renewable energy consumption (TWh) between the years 2021 and 2023?,1.0, 1.00,True
15,What is the total sum of the net primary energy consumption (in TWh) from the years 2015 to 2023?,931.0, 931.00,True
16,What is the percentage increase in the number of operated sites with annual consumption greater than 50 ktoe from 2020 to 2023?,2.38, 2.38%,True
17,What is the reduction between the Global Energy Efficiency Indicator (GEEI) values for the years 2022 and 2020?,5.1, 5.10,True
18,What is the percentage decrease in the Global Energy Efficiency Indicator (GEEI) from 2015 to 2021?,4.19, 4.18%,False
19,What is the average value of the Global Energy Efficiency Indicator (GEEI) from 2015 to 2023?,87.92, 87.92,True
20,What is the decrease in the Global Energy Efficiency Indicator (GEEI) from 2019 to 2021?,1.0, 1.00,True
21,"What is the sum of the Global Energy Efficiency Indicator (GEEI) values for the years 2015, 2019, 2020, 2021, 2022, and 2023?",527.5, 527.50,True
22,What is the difference between the fresh water withdrawals (excluding open loop cooling water) and the fresh water consumption in 2021?,21.0, 21.00 mm3,True
23,"What is the sum of the SO2 emissions, NOx emissions and NMVOC emissions for the year 2021?",133.0, 133.00 kt,True
24,What is the reduction in offshore continuous water discharges hydrocarbon content from the year 2020 to 2022?,-0.1, -0.10 mg/l,True
25,What is the increase in the percentage of sites that meet the target for offshore discharges quality from 2020 to 2021?,8.0, -8.00%,True
26,What is the average value of onshore continuous water discharges hydrocarbon content for the years 2021 and 2022?,2.2, 2.20,True
27,What is the decrease in the lifecycle carbon intensity of energy products used by customers from 2022 to 2023?,1.0, 1.00,True
28,"What is the sum of the intensity of GHG emissions (Scope 1+2) of operated Upstream oil & gas activities for the years 2023, 2022, 2021, and 2015?",72.0, 72.00 kg co2e/boe,True
29,What is the difference between the total Scope 3 GHG emissions and those related to Europe alone in 2015?,154.0, 154.00 mt co2e,True
30,What is the percentage decrease in the GHG emissions from Gas in 2023 compared to 2022?,4.62, 4.62%,True
31,What is the sum of GHG emissions from Biofuels and Gas in 2022?,134.0, 134.00,True
32,What is the average between GHG emissions from Biofuels and Gas in 2022?,67.0, 67.00,True
33,What is the difference between GHG emissions from Oil in 2015 compared to the emissions from Gas in the same year?,290.0, 290.00,True
34,What is the sum of gas-related GHG emissions and petroleum products emissions for the year 2015?,410.0, 410.00,True
35,What is the percentage increase in indirect GHG emissions from gas between the years 2021 and 2023?,7.83, 7.83%,True
36,"What is the total of the indirect GHG emissions from gas for the years 2023, 2022, 2021, and 2015?",429.0, 429.00,True
37,What is the average lifecycle carbon intensity of energy products sold between the years 2021 and 2023?,88.33, 88.33,True
38,"What is the difference between the indirect GHG emissions from ""Cat 1 Purchased goods and services"" in 2022 and ""Cat 9 Downstream transportation"" in the same year?",29.0, 29.00,True
